count	type	name	props	nodeId
8	SET	infobox	title:T body:T Type(2) Size(2)	343:54598
8	SET	progress_bar	Alert:B Size(2) State(3)	4107:97921
8	SET	carousel__dot	Type(5) color(2)	343:23518
8	SET	radio_button__list	Size(2)	315:27045
7	SET	footer__mo	Related Site:B Social:B Identifier-black:B Identifier_white:B Type(1)	1548:41060
7	SET	coach_mark	Title:T Step:T Arrow(3) Direction(2)	3985:95855
7	SET	tooltip__rich	Contents:T Title:T Show button:B Arrow(3) Direction(2)	3331:45986
7	CMP	icon/round_check		725:17849
7	CMP	icon/curser		3260:143835
7	SET	Star	Property 1(2)	10024:28755
7	CMP	필수입력		13116:19531
6	SET	open_panel	Type(2)	360:44770
6	SET	calendar	Date picker button:B input:B Type(2)	343:51868
6	CMP	No Data		10373:41131
6	SET	tab__mo	Swipe_right:B Swipe_left:B Style(2) Type(1)	1656:52201
6	CMP	btn search		11710:112375
6	CMP	MapPin		12231:108199
5	SET	critical_alerts	Text:T Type(3)	343:54455
5	CMP	icon/check_circle		359:45137
5	CMP	icon/share		1101:23476
5	CMP	icon/Arrow / Down_SM		10424:57526
5	SET	file_upload__atomic__mo	Text:T error:T State(5)	359:45385
5	CMP	S_title	BTN. 1:B BTN. 2:B BTN. 3:B	10780:96374
4	CMP	masthead__pc		343:54100
4	SET	identifier__pc	Type(2)	343:55136
4	SET	main_menu_open_last_depth__atomic__pc	Icon:B Label:T bullet:B state(4)	324:52010
4	SET	side_navigation	Title:B Type(2)	393:29718
4	CMP	pagination__mo	Input_button:B	340:50158
4	CMP	icon/arrow-sort-both		1420:77015
4	SET	badge__number	Type(2) Number(2)	361:44245
4	CMP	carousel__number		1170:66159
4	SET	checkbox__item	Size(2) Select(3) State(2)	306:26713
4	SET	checkbox__list	Size(2)	309:26481
3	CMP	masthead__mo		343:54218
3	CMP	header__pc		322:41730
3	SET	main_menu__mo	Utility_bottom:B Anchor:B Header:B Type(3)	398:27627
3	SET	main_menu_open_sub_title__atomic__pc	Icon:B Label:T State(3)	325:30378
3	SET	main_menu_open_title__atomic__mo	Label:T Icon:B State(3)	394:26277
3	SET	main_menu_open_2depth_bar__atomic__mo	Icon:B Label:T state(3)	394:25520
3	SET	main_menu_open_2depth__atomic__mo	Icon:B Label:T state(3)	394:25608
3	SET	main_menu_open_last_depth__atomic__mo	Icon:B Label:T state(3)	394:25563
3	CMP	dummy-image		338:49841
3	SET	critical_alerts__mo	Text:T Type(3)	1726:81137
3	SET	user_feedback__pc	Title:T Type(3)	724:15059
3	SET	user_feedback__mo	Title:T Type(3)	725:16228
3	CMP	icon/download		359:44616
3	CMP	icon/ellipsis_vertical		1516:42074
3	CMP	icon/open-new-window		325:27584
3	CMP	icon/setting		2252:41622
3	CMP	icon/->		13069:97667
3	SET	carousel__arrow	Type(2) Size(4)	343:24138
3	SET	disclosure	Title:T State(2)	343:42471
3	CMP	radio_button__sorting		1055:38179
2	SET	identifier__mo	Type(2)	344:44372
2	SET	main_menu_open	4depth:B Type(3) Banner(3)	324:53004
2	CMP	in_page_navigation	Button:B ↪️Description:B	336:45270
2	SET	step_indicator__pc	↪️1-label:T ↪️2-label:T ↪️3-label:T ↪️4-label:T ↪️5-label:T ↪️6-label:T ↪️7-label:T Step7:B Step6:B Step5:B Step4:B Step3:B Step2:B Step1:B Type(2)	343:53899
2	SET	home_indicator__atomic	Type(2)	1574:71103
2	SET	bottom_sheet	Height(2)	1545:35095
2	CMP	icon/flag		887:44026
2	CMP	icon/globe		2973:4343
2	CMP	icon/logout		393:791
2	CMP	icon/token_number		3427:73205
2	SET	badge__dot	Type(2)	361:44242
2	SET	radio_button__item	Size(2) Check(2) State(2)	313:27161
2	SET	date_input__unit	Input_message:B Unit_label:B Size(2)	2893:141217
2	SET	date_input_period__unit	input_message:B Unit_label:B ↪️Label:T Size(2)	2893:143254
2	CMP	Mous cursor		10013:3011
1	CMP	dummy-text		343:53347
1	CMP	tab_bars__mo		4932:97639
1	CMP	icon/blank		284:25377
1	CMP	icon/accessibility		2973:4349
1	CMP	icon/analytics		2252:41626
1	CMP	icon/annotation		1101:23510
1	CMP	icon/arrow-drop-down		1420:77013
1	CMP	icon/arrow-drop-up		1420:77014
1	CMP	icon/arrow-top		288:27153
1	CMP	icon/attach		2252:41636
1	CMP	icon/bookmarks		2252:41628
1	CMP	icon/btn-shortcut		357:27016
1	CMP	icon/call		1101:23517
1	CMP	icon/certification_finanace		2252:41650
1	CMP	icon/certification_mobile		2252:41649
1	CMP	icon/certification_simple		2252:41619
1	CMP	icon/certified		4581:30026
1	CMP	icon/delete		317:27348
1	CMP	icon/document		4037:47048
1	CMP	icon/document-check		2252:41634
1	CMP	icon/dummy		1446:129192
1	CMP	icon/ecg_heart		2252:41629
1	CMP	icon/emergency		2577:123198
1	CMP	icon/exclamation		1009:36374
1	CMP	icon/expand_less		343:53171
1	CMP	icon/expand_more		343:53149
1	CMP	icon/face_sad		424:11726
1	CMP	icon/face_smile		424:11725
1	CMP	icon/facebook		2365:45334
1	CMP	icon/filter		3863:102843
1	CMP	icon/government		288:25968
1	CMP	icon/guide_check		725:17460
1	CMP	icon/headphones		2252:41635
1	CMP	icon/heart		1101:23484
1	CMP	icon/home		342:41582
1	CMP	icon/identity		2252:41625
1	CMP	icon / img		338:31684
1	CMP	icon/instagram		2365:45205
1	CMP	icon/join		1101:23469
1	CMP	icon/kakao_story		2365:45467
1	CMP	icon/kakaotalk_channel		2365:45470
1	CMP	icon/location_away		2252:41627
1	CMP	icon/login		393:790
1	CMP	icon/login_id_password		2252:41620
1	CMP	icon/mail		1101:23494
1	CMP	icon/map		2252:41624
1	CMP	icon/menu		1402:48365
1	CMP	icon/multi		1101:23487
1	CMP	icon/myinfo		2252:41637
1	CMP	icon/naver_blog		2365:45464
1	CMP	icon/new_folder		2252:41623
1	CMP	icon/panel_close		361:47734
1	CMP	icon/panel_open		361:47733
1	CMP	icon/pdf		1277:15728
1	CMP	icon/play		343:23702
1	CMP	icon/popover_info		1249:46817
1	CMP	icon/popover_help		3324:143764
1	CMP	icon/scrap		1101:23507
1	CMP	icon/stat-down		2252:41630
1	CMP	icon/stat-up		2252:41631
1	CMP	icon/stop		343:23682
1	CMP	icon/nonmember		2252:41621
1	CMP	icon/system-danger		288:25974
1	CMP	icon/system-info		353:44315
1	CMP	icon/system-success		353:44314
1	CMP	icon/system-warning		353:44316
1	CMP	icon/time		393:28518
1	CMP	icon/top		4037:47010
1	CMP	icon/trophy		2252:41632
